App;Category;Rating;Reviews;Size;Installs;Type;Price;Content Rating;Genres;Last Updated;Current Ver;Android Ver
AccuWeather: Daily Forecast & Live Weather Reports;WEATHER;44;2053404;Varies with device;50,000,000+;Free;0;Everyone;Weather;06.08.2018;Varies with device;Varies with device
AccuWeather: Daily Forecast & Live Weather Reports;WEATHER;44;2052407;Varies with device;50,000,000+;Free;0;Everyone;Weather;02.08.2018;Varies with device;Varies with device
AEMET's time;WEATHER;38;15966;9.2M;1,000,000+;Free;0;Everyone;Weather;17.07.2017;2.0;2.3 and up
Ag Weather Tools;WEATHER;1;0;4.6M;500+;Free;0;Everyone;Weather;09.01.2018;1.0.1;5.0 and up
Amber Weather;WEATHER;44;260137;13M;10,000,000+;Free;0;Everyone 10+;Weather;16.07.2018;3.8.1;4.1 and up
APE Weather ( Live Forecast);WEATHER;43;20008;9.1M;5,000,000+;Free;0;Everyone;Weather;03.07.2018;7.1.34.28;5.0 and up
Au Weather Free;WEATHER;40;1185;5.0M;100,000+;Free;0;Everyone;Weather;18.06.2018;2.47.2;2.3 and up
ByssWeather for Wear OS;WEATHER;42;19666;Varies with device;1,000,000+;Free;0;Everyone;Weather;11.04.2018;Varies with device;Varies with device
Clearwater, FL - weather and more;WEATHER;1;0;3.9M;10+;Free;0;Everyone;Weather;12.04.2018;1.0;5.0 and up
Climatempo Lite - 15 day weather forecast;WEATHER;40;634;Varies with device;100,000+;Free;0;Everyone;Weather;15.06.2018;1.0.34;4.1 and up
DS Barometer - Altimeter and Weather Information;WEATHER;39;2962;4.2M;100,000+;Free;0;Everyone;Weather;09.07.2018;3.67;2.3.3 and up
DS Thermometer;WEATHER;37;631;3.0M;100,000+;Free;0;Everyone;Weather;30.05.2015;2.20;2.3 and up
EZ Clock & Weather Widget;WEATHER;42;6849;1.2M;1,000,000+;Free;0;Everyone;Weather;05.03.2014;v1.9.6 beta 1;2.1 and up
Florida Storms;WEATHER;38;116;36M;10,000+;Free;0;Everyone;Weather;26.12.2017;2.0.11;4.4 and up
Florida Tides & Weather;WEATHER;38;30;2.0M;1,000+;Paid;7,55;Everyone;Weather;06.05.2015;2.0.0;2.3 and up
ForecaWeather;WEATHER;42;18425;5.3M;1,000,000+;Free;0;Everyone;Weather;29.07.2017;3.1.7;4.1 and up
FR Tides;WEATHER;38;1195;582k;100,000+;Free;0;Everyone;Weather;16.02.2014;6.0;2.1 and up
Free live weather on screen;WEATHER;44;15370;21M;1,000,000+;Free;0;Everyone;Weather;02.08.2018;12.2.6.3660;4.1 and up
Fu*** Weather (Funny Weather);WEATHER;47;20001;Varies with device;1,000,000+;Free;0;Mature 17+;Weather;26.07.2018;Varies with device;Varies with device
GO Weather - Widget, Theme, Wallpaper, Efficient;WEATHER;45;1422858;Varies with device;50,000,000+;Free;0;Everyone;Weather;03.08.2018;Varies with device;Varies with device
GO Weather EX Theme White;WEATHER;42;8723;4.6M;500,000+;Free;0;Everyone;Weather;27.08.2014;1.0;2.2 and up
HTC Weather;WEATHER;39;22154;Varies with device;10,000,000+;Free;0;Everyone;Weather;10.08.2017;8.50.935520;4.4 and up
HumorCast - Authentic Weather;WEATHER;44;6495;40M;100,000+;Free;0;Teen;Weather;12.07.2018;4.4.4;4.4 and up
Info BMKG;WEATHER;43;21404;7.6M;1,000,000+;Free;0;Everyone;Weather;15.06.2017;2.2;4.4 and up
Klara weather;WEATHER;46;36900;4.8M;500,000+;Free;0;Everyone;Weather;28.07.2018;1.3.6;4.0 and up
Klart.se - Sweden's best weather;WEATHER;36;7623;19M;1,000,000+;Free;0;Everyone;Weather;11.07.2018;3.18.5;4.4 and up
Live Weather & Daily Local Weather Forecast;WEATHER;45;13426;19M;1,000,000+;Free;0;Everyone;Weather;17.07.2018;9.9.1.1910;4.1 and up
Live Weather Pro;WEATHER;48;892;17M;10,000+;Free;0;Everyone;Weather;17.07.2018;1.1;4.4 and up
Local weather Forecast;WEATHER;44;5482;12M;1,000,000+;Free;0;Everyone;Weather;07.08.2018;2.42;4.0.3 and up
Local Weather Forecast & Visual Widget;WEATHER;45;3478;6.1M;500,000+;Free;0;Everyone;Weather;02.08.2018;2.9.10;4.2 and up
Météo Algérie DZ;WEATHER;41;1238;4.7M;100,000+;Free;0;Everyone;Weather;17.12.2014;1.1.6;2.3 and up
METEO FRANCE;WEATHER;39;100994;54M;5,000,000+;Free;0;Everyone;Weather;13.07.2018;5.9.7;4.1 and up
Météociel;WEATHER;45;29344;22M;500,000+;Free;0;Everyone;Weather;25.07.2018;4.1.11 - Hegoa;4.1 and up
MIUI Style GO Weather EX;WEATHER;42;2115;1.1M;500,000+;Free;0;Everyone;Weather;04.07.2014;1.3;1.6 and up
Moonlight GO Weather EX;WEATHER;42;11510;3.5M;1,000,000+;Free;0;Everyone;Weather;28.08.2014;1.4;2.2 and up
